Theme,Sub Theme,Feature Name,Co-ordinates,Latitude,Longitude,Nearest_Outdoor_Sensor_ID,Nearest_Outdoor_Sensor_Distance_m,Coverage_Status
Education Centre,Further Education,Kangan Batman Tafe,"-37.8221818203024, 144.948908460665",-37.8221818203024,144.948908460665,8,173.78658155758524,SUPPORTED
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,"-37.8213252086842, 144.977591098955",-37.8213252086842,144.977591098955,136,478.5063869470149,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,"-37.8207887122448, 144.972951789291",-37.8207887122448,144.972951789291,136,269.7342257534286,LIMITED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,"-37.7906174256581, 144.953834240647",-37.7906174256581,144.953834240647,44,1168.6584596701425,NO_DATA
Residential Accommodation,Dwelling (House),Government House,"-37.8275635886174, 144.976655130464",-37.8275635886174,144.976655130464,136,1052.6410256922004,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,"-37.820469374101, 144.986671109615",-37.820469374101,144.986671109615,136,1172.4632348407758,NO_DATA
Transport,Railway Station,Melbourne Central Railway Station,"-37.8097759325888, 144.962670059539",-37.8097759325888,144.962670059539,62,49.078487371392455,SUPPORTED
Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,"-37.8222182774409, 144.954039975197",-37.8222182774409,144.954039975197,143,145.03884935073756,SUPPORTED
Place of Worship,Church,St Pauls Cathedral,"-37.8169549012399, 144.967681647402",-37.8169549012399,144.967681647402,41,75.08907216537875,SUPPORTED
Community Use,Visitor Centre,Melbourne Visitor Centre,"-37.8177352402006, 144.967937138226",-37.8177352402006,144.967937138226,72,87.06369582834152,SUPPORTED
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),"-37.8176107327202, 144.969070431323",-37.8176107327202,144.969070431323,72,48.94997387114411,SUPPORTED
Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,"-37.8145407488014, 144.980554992725",-37.8145407488014,144.980554992725,75,520.8437762778939,NO_DATA
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,"-37.8161760471742, 144.947496254547",-37.8161760471742,144.947496254547,10,289.88965837753915,LIMITED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,"-37.8027919689732, 144.962760852233",-37.8027919689732,144.962760852233,46,113.25607388547128,SUPPORTED
Residential Accommodation,Dwelling (House),Bishopscourt,"-37.8132921649416, 144.98350690799",-37.8132921649416,144.98350690799,75,802.8087621507267,NO_DATA
Place of Worship,Church,St Peter's Eastern Hill,"-37.8097086714637, 144.975259178609",-37.8097086714637,144.975259178609,40,263.98810717704464,LIMITED
Place of Worship,Church,Scots Church,"-37.8145687802664, 144.96855105335",-37.8145687802664,144.96855105335,39,150.3947246367796,SUPPORTED
Place of Worship,Church,South Yarra Presbyterian Church,"-37.8407473645397, 144.98562699348",-37.8407473645397,144.98562699348,140,2660.613571833734,NO_DATA
