Location_ID,Window15,observed_rows,observed_total,first_record,last_record,zero_row_window
3,2026-08-08 13:15:00,15,653.0,2026-08-08 13:15:00,2026-08-08 13:29:00,False
3,2026-08-08 13:30:00,15,705.0,2026-08-08 13:30:00,2026-08-08 13:44:00,False
3,2026-08-08 13:45:00,15,722.0,2026-08-08 13:45:00,2026-08-08 13:59:00,False
3,2026-08-08 14:00:00,15,796.0,2026-08-08 14:00:00,2026-08-08 14:14:00,False
3,2026-08-08 14:15:00,15,740.0,2026-08-08 14:15:00,2026-08-08 14:29:00,False
3,2026-08-08 14:30:00,15,764.0,2026-08-08 14:30:00,2026-08-08 14:44:00,False
3,2026-08-08 14:45:00,15,799.0,2026-08-08 14:45:00,2026-08-08 14:59:00,False
3,2026-08-08 15:00:00,15,798.0,2026-08-08 15:00:00,2026-08-08 15:14:00,False
3,2026-08-08 15:15:00,15,766.0,2026-08-08 15:15:00,2026-08-08 15:29:00,False
3,2026-08-08 15:30:00,15,822.0,2026-08-08 15:30:00,2026-08-08 15:44:00,False
3,2026-08-08 15:45:00,15,872.0,2026-08-08 15:45:00,2026-08-08 15:59:00,False
3,2026-08-08 16:00:00,15,793.0,2026-08-08 16:00:00,2026-08-08 16:14:00,False
3,2026-08-08 16:15:00,15,781.0,2026-08-08 16:15:00,2026-08-08 16:29:00,False
3,2026-08-08 16:30:00,15,889.0,2026-08-08 16:30:00,2026-08-08 16:44:00,False
3,2026-08-08 16:45:00,15,837.0,2026-08-08 16:45:00,2026-08-08 16:59:00,False
3,2026-08-08 17:00:00,15,856.0,2026-08-08 17:00:00,2026-08-08 17:14:00,False
3,2026-08-08 17:15:00,15,834.0,2026-08-08 17:15:00,2026-08-08 17:29:00,False
3,2026-08-08 17:30:00,15,849.0,2026-08-08 17:30:00,2026-08-08 17:44:00,False
3,2026-08-08 17:45:00,15,893.0,2026-08-08 17:45:00,2026-08-08 17:59:00,False
3,2026-08-08 18:00:00,15,846.0,2026-08-08 18:00:00,2026-08-08 18:14:00,False
3,2026-08-08 18:15:00,15,632.0,2026-08-08 18:15:00,2026-08-08 18:29:00,False
3,2026-08-08 18:30:00,15,545.0,2026-08-08 18:30:00,2026-08-08 18:44:00,False
3,2026-08-08 18:45:00,15,549.0,2026-08-08 18:45:00,2026-08-08 18:59:00,False
3,2026-08-08 19:00:00,15,594.0,2026-08-08 19:00:00,2026-08-08 19:14:00,False
3,2026-08-08 19:15:00,15,567.0,2026-08-08 19:15:00,2026-08-08 19:29:00,False
3,2026-08-08 19:30:00,15,733.0,2026-08-08 19:30:00,2026-08-08 19:44:00,False
3,2026-08-08 19:45:00,15,814.0,2026-08-08 19:45:00,2026-08-08 19:59:00,False
3,2026-08-08 20:00:00,15,755.0,2026-08-08 20:00:00,2026-08-08 20:14:00,False
3,2026-08-08 20:15:00,15,660.0,2026-08-08 20:15:00,2026-08-08 20:29:00,False
3,2026-08-08 20:30:00,15,603.0,2026-08-08 20:30:00,2026-08-08 20:44:00,False
3,2026-08-08 20:45:00,15,508.0,2026-08-08 20:45:00,2026-08-08 20:59:00,False
3,2026-08-08 21:00:00,15,558.0,2026-08-08 21:00:00,2026-08-08 21:14:00,False
3,2026-08-08 21:15:00,15,462.0,2026-08-08 21:15:00,2026-08-08 21:29:00,False
3,2026-08-08 21:30:00,5,152.0,2026-08-08 21:30:00,2026-08-08 21:34:00,False
4,2026-08-07 23:45:00,5,62.0,2026-08-07 23:55:00,2026-08-07 23:59:00,False
4,2026-08-08 00:00:00,15,142.0,2026-08-08 00:00:00,2026-08-08 00:14:00,False
4,2026-08-08 00:15:00,15,165.0,2026-08-08 00:15:00,2026-08-08 00:29:00,False
4,2026-08-08 00:30:00,15,154.0,2026-08-08 00:30:00,2026-08-08 00:44:00,False
4,2026-08-08 00:45:00,15,139.0,2026-08-08 00:45:00,2026-08-08 00:59:00,False
4,2026-08-08 01:00:00,15,178.0,2026-08-08 01:00:00,2026-08-08 01:14:00,False
4,2026-08-08 01:15:00,15,420.0,2026-08-08 01:15:00,2026-08-08 01:29:00,False
4,2026-08-08 01:30:00,15,170.0,2026-08-08 01:30:00,2026-08-08 01:44:00,False
4,2026-08-08 01:45:00,13,63.0,2026-08-08 01:46:00,2026-08-08 01:59:00,False
4,2026-08-08 02:00:00,14,94.0,2026-08-08 02:00:00,2026-08-08 02:14:00,False
4,2026-08-08 02:15:00,12,53.0,2026-08-08 02:16:00,2026-08-08 02:29:00,False
4,2026-08-08 02:30:00,13,33.0,2026-08-08 02:30:00,2026-08-08 02:44:00,False
4,2026-08-08 02:45:00,12,53.0,2026-08-08 02:45:00,2026-08-08 02:59:00,False
4,2026-08-08 03:00:00,10,47.0,2026-08-08 03:00:00,2026-08-08 03:14:00,False
4,2026-08-08 03:15:00,13,31.0,2026-08-08 03:15:00,2026-08-08 03:29:00,False
4,2026-08-08 03:30:00,11,27.0,2026-08-08 03:30:00,2026-08-08 03:43:00,False
4,2026-08-08 03:45:00,7,14.0,2026-08-08 03:45:00,2026-08-08 03:58:00,False
4,2026-08-08 04:00:00,7,9.0,2026-08-08 04:00:00,2026-08-08 04:14:00,False
4,2026-08-08 04:15:00,10,26.0,2026-08-08 04:15:00,2026-08-08 04:29:00,False
